5 , 16/04/2012 06:24:06:071 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 090412000254
5 , 16/04/2012 06:24:06:074 , ApplicationProcessor , checkDuplicateApplications , approved 271 app ref no 040511000375
5 , 16/04/2012 06:24:06:076 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 090412000254
5 , 16/04/2012 06:24:06:078 , ApplicationProcessor , checkDuplicateApplications , approved 272 app ref no 040511000385
5 , 16/04/2012 06:24:06:080 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 090412000254
5 , 16/04/2012 06:24:06:082 , ApplicationProcessor , checkDuplicateApplications , approved 273 app ref no 040511000390
5 , 16/04/2012 06:24:06:084 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 090412000254
5 , 16/04/2012 06:24:06:085 , ApplicationProcessor , checkDuplicateApplications , approved 274 app ref no 060511000256
5 , 16/04/2012 06:24:06:087 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 090412000254
5 , 16/04/2012 06:24:06:088 , ApplicationProcessor , checkDuplicateApplications , approved 275 app ref no 060511000261
5 , 16/04/2012 06:24:06:090 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 090412000254
5 , 16/04/2012 06:24:06:092 , ApplicationProcessor , checkDuplicateApplications , approved 276 app ref no 100511000437
5 , 16/04/2012 06:24:06:093 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 090412000254
5 , 16/04/2012 06:24:06:095 , ApplicationProcessor , checkDuplicateApplications , approved 277 app ref no 120511000301
5 , 16/04/2012 06:24:06:097 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 090412000254
5 , 16/04/2012 06:24:06:099 , ApplicationProcessor , checkDuplicateApplications , approved 278 app ref no 160511000228
5 , 16/04/2012 06:24:06:100 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 090412000254
5 , 16/04/2012 06:24:06:101 , ApplicationProcessor , checkDuplicateApplications , approved 279 app ref no 230511000069
5 , 16/04/2012 06:24:06:103 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 090412000254
5 , 16/04/2012 06:24:06:104 , ApplicationProcessor , checkDuplicateApplications , approved 280 app ref no 230511000081
5 , 16/04/2012 06:24:06:105 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 090412000254
5 , 16/04/2012 06:24:06:107 , ApplicationProcessor , checkDuplicateApplications , approved 281 app ref no 270511000062
5 , 16/04/2012 06:24:06:108 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 090412000254
5 , 16/04/2012 06:24:06:110 , ApplicationProcessor , checkDuplicateApplications , approved 282 app ref no 270511000283
5 , 16/04/2012 06:24:06:111 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 090412000254
5 , 16/04/2012 06:24:06:113 , ApplicationProcessor , checkDuplicateApplications , approved 283 app ref no 270511000295
5 , 16/04/2012 06:24:06:114 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 090412000254
5 , 16/04/2012 06:24:06:116 , ApplicationProcessor , checkDuplicateApplications , approved 284 app ref no 270511000275
5 , 16/04/2012 06:24:06:117 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 090412000254
5 , 16/04/2012 06:24:06:119 , ApplicationProcessor , checkDuplicateApplications , approved 285 app ref no 221111000275
5 , 16/04/2012 06:24:06:120 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 090412000254
5 , 16/04/2012 06:24:06:122 , ApplicationProcessor , checkDuplicateApplications , approved 286 app ref no 270511000288
5 , 16/04/2012 06:24:06:124 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 090412000254
5 , 16/04/2012 06:24:06:127 , ApplicationProcessor , checkDuplicateApplications , approved 287 app ref no 010611000332
5 , 16/04/2012 06:24:06:130 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 090412000254
5 , 16/04/2012 06:24:06:131 , ApplicationProcessor , checkDuplicateApplications , approved 288 app ref no 010611000340
5 , 16/04/2012 06:24:06:133 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 090412000254
5 , 16/04/2012 06:24:06:134 , ApplicationProcessor , checkDuplicateApplications , approved 289 app ref no 040611000205
5 , 16/04/2012 06:24:06:136 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 090412000254
5 , 16/04/2012 06:24:06:137 , ApplicationProcessor , checkDuplicateApplications , approved 290 app ref no 040611000215
5 , 16/04/2012 06:24:06:139 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 090412000254
5 , 16/04/2012 06:24:06:140 , ApplicationProcessor , checkDuplicateApplications , approved 291 app ref no 040611000223
5 , 16/04/2012 06:24:06:142 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 090412000254
5 , 16/04/2012 06:24:06:143 , ApplicationProcessor , checkDuplicateApplications , approved 292 app ref no 070611000209
5 , 16/04/2012 06:24:06:145 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 090412000254
5 , 16/04/2012 06:24:06:147 , ApplicationProcessor , checkDuplicateApplications , approved 293 app ref no 070611000224
5 , 16/04/2012 06:24:06:148 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 090412000254
5 , 16/04/2012 06:24:06:151 , ApplicationProcessor , checkDuplicateApplications , approved 294 app ref no 070611000249
5 , 16/04/2012 06:24:06:153 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 090412000254
5 , 16/04/2012 06:24:06:155 , ApplicationProcessor , checkDuplicateApplications , approved 295 app ref no 070611000193
5 , 16/04/2012 06:24:06:156 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 090412000254
5 , 16/04/2012 06:24:06:158 , ApplicationProcessor , checkDuplicateApplications , approved 296 app ref no 090611000161
