5 , 04/05/2012 09:47:27:053 , ApplicationProcessor , checkDuplicateApplications , pending 8 checking with pending 15 app ref no 040512000387
5 , 04/05/2012 09:47:27:055 , ApplicationProcessor , checkDuplicateApplications , state and district are not same for :040512000387and 030512000345
5 , 04/05/2012 09:47:27:056 , ApplicationProcessor , checkDuplicateApplications , pending  checking with pending  app ref no not all matching040512000387
5 , 04/05/2012 09:47:27:057 , ApplicationProcessor , checkDuplicateApplications , pending 8 checking with pending 16 app ref no 0806060023
5 , 04/05/2012 09:47:27:059 , ApplicationProcessor , checkDuplicateApplications , state and district are not same for :0806060023and 030512000345
5 , 04/05/2012 09:47:27:060 , ApplicationProcessor , checkDuplicateApplications , pending  checking with pending  app ref no not all matching0806060023
5 , 04/05/2012 09:47:27:061 , ApplicationProcessor , checkDuplicateApplications , pending 8 checking with pending 17 app ref no 2707060079
5 , 04/05/2012 09:47:27:062 , ApplicationProcessor , checkDuplicateApplications , state and district are not same for :2707060079and 030512000345
5 , 04/05/2012 09:47:27:064 , ApplicationProcessor , checkDuplicateApplications , pending  checking with pending  app ref no not all matching2707060079
5 , 04/05/2012 09:47:27:065 , ApplicationProcessor , checkDuplicateApplications , before checking with Approved Applications
5 , 04/05/2012 09:47:27:066 , ApplicationProcessor , checkDuplicateApplications , pending 9 app ref no 030512000363
5 , 04/05/2012 09:47:27:100 , ApplicationProcessor , checkDuplicateApplications , approved 0 app ref no 3007070007
5 , 04/05/2012 09:47:27:102 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 030512000363
5 , 04/05/2012 09:47:27:103 , ApplicationProcessor , checkDuplicateApplications , approved 1 app ref no 3005070070
5 , 04/05/2012 09:47:27:104 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 030512000363
5 , 04/05/2012 09:47:27:106 , ApplicationProcessor , checkDuplicateApplications , approved 2 app ref no 2610040011
5 , 04/05/2012 09:47:27:107 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 030512000363
5 , 04/05/2012 09:47:27:108 , ApplicationProcessor , checkDuplicateApplications , approved 3 app ref no 2706060242
5 , 04/05/2012 09:47:27:110 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 030512000363
5 , 04/05/2012 09:47:27:111 , ApplicationProcessor , checkDuplicateApplications , approved 4 app ref no 2901070028
5 , 04/05/2012 09:47:27:113 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 030512000363
5 , 04/05/2012 09:47:27:114 , ApplicationProcessor , checkDuplicateApplications , approved 5 app ref no 2610070046
5 , 04/05/2012 09:47:27:115 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 030512000363
5 , 04/05/2012 09:47:27:117 , ApplicationProcessor , checkDuplicateApplications , approved 6 app ref no 3103050210
5 , 04/05/2012 09:47:27:118 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 030512000363
5 , 04/05/2012 09:47:27:120 , ApplicationProcessor , checkDuplicateApplications , approved 7 app ref no 0307060013
5 , 04/05/2012 09:47:27:121 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 030512000363
5 , 04/05/2012 09:47:27:122 , ApplicationProcessor , checkDuplicateApplications , approved 8 app ref no 1609050030
5 , 04/05/2012 09:47:27:124 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 030512000363
5 , 04/05/2012 09:47:27:125 , ApplicationProcessor , checkDuplicateApplications , approved 9 app ref no 1009030012
5 , 04/05/2012 09:47:27:126 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 030512000363
5 , 04/05/2012 09:47:27:128 , ApplicationProcessor , checkDuplicateApplications , approved 10 app ref no 2407060021
5 , 04/05/2012 09:47:27:129 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 030512000363
5 , 04/05/2012 09:47:27:131 , ApplicationProcessor , checkDuplicateApplications , approved 11 app ref no 2806070087
5 , 04/05/2012 09:47:27:132 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 030512000363
5 , 04/05/2012 09:47:27:134 , ApplicationProcessor , checkDuplicateApplications , approved 12 app ref no 2709060098
5 , 04/05/2012 09:47:27:135 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 030512000363
5 , 04/05/2012 09:47:27:137 , ApplicationProcessor , checkDuplicateApplications , approved 13 app ref no 1009030002
5 , 04/05/2012 09:47:27:138 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 030512000363
5 , 04/05/2012 09:47:27:139 , ApplicationProcessor , checkDuplicateApplications , approved 14 app ref no 1503050026
5 , 04/05/2012 09:47:27:141 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 030512000363
5 , 04/05/2012 09:47:27:142 , ApplicationProcessor , checkDuplicateApplications , approved 15 app ref no 3009050062
5 , 04/05/2012 09:47:27:146 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 030512000363
5 , 04/05/2012 09:47:27:148 , ApplicationProcessor , checkDuplicateApplications , approved 16 app ref no 0209060026
5 , 04/05/2012 09:47:27:150 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 030512000363
5 , 04/05/2012 09:47:27:151 , ApplicationProcessor , checkDuplicateApplications , approved 17 app ref no 2812060448
5 , 04/05/2012 09:47:27:153 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 030512000363
5 , 04/05/2012 09:47:27:154 , ApplicationProcessor , checkDuplicateApplications , approved 18 app ref no 3108040011
5 , 04/05/2012 09:47:27:156 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 030512000363
5 , 04/05/2012 09:47:27:157 , ApplicationProcessor , checkDuplicateApplications , approved 19 app ref no 1805070007
5 , 04/05/2012 09:47:27:159 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 030512000363
5 , 04/05/2012 09:47:27:160 , ApplicationProcessor , checkDuplicateApplications , approved 20 app ref no 2701070012
5 , 04/05/2012 09:47:27:161 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 030512000363
5 , 04/05/2012 09:47:27:163 , ApplicationProcessor , checkDuplicateApplications , approved 21 app ref no 1610070013
5 , 04/05/2012 09:47:27:164 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 030512000363
5 , 04/05/2012 09:47:27:166 , ApplicationProcessor , checkDuplicateApplications , approved 22 app ref no 0806060023
5 , 04/05/2012 09:47:27:168 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 030512000363
5 , 04/05/2012 09:47:27:169 , ApplicationProcessor , checkDuplicateApplications , approved 23 app ref no 1503060053
5 , 04/05/2012 09:47:27:171 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 030512000363
5 , 04/05/2012 09:47:27:172 , ApplicationProcessor , checkDuplicateApplications , approved 24 app ref no 2906070111
5 , 04/05/2012 09:47:27:174 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 030512000363
5 , 04/05/2012 09:47:27:175 , ApplicationProcessor , checkDuplicateApplications , approved 25 app ref no 2803060225
5 , 04/05/2012 09:47:27:177 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 030512000363
5 , 04/05/2012 09:47:27:178 , ApplicationProcessor , checkDuplicateApplications , approved 26 app ref no 1712070027
5 , 04/05/2012 09:47:27:180 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 030512000363
5 , 04/05/2012 09:47:27:181 , ApplicationProcessor , checkDuplicateApplications , approved 27 app ref no 1312050088
5 , 04/05/2012 09:47:27:183 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 030512000363
5 , 04/05/2012 09:47:27:184 , ApplicationProcessor , checkDuplicateApplications , approved 28 app ref no 1001060009
5 , 04/05/2012 09:47:27:186 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 030512000363
5 , 04/05/2012 09:47:27:187 , ApplicationProcessor , checkDuplicateApplications , approved 29 app ref no 1001060011
5 , 04/05/2012 09:47:27:189 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 030512000363
5 , 04/05/2012 09:47:27:190 , ApplicationProcessor , checkDuplicateApplications , approved 30 app ref no 1004070023
5 , 04/05/2012 09:47:27:191 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 030512000363
5 , 04/05/2012 09:47:27:193 , ApplicationProcessor , checkDuplicateApplications , approved 31 app ref no 0106070022
5 , 04/05/2012 09:47:27:194 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 030512000363
5 , 04/05/2012 09:47:27:196 , ApplicationProcessor , checkDuplicateApplications , approved 32 app ref no 0106070019
5 , 04/05/2012 09:47:27:197 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 030512000363
5 , 04/05/2012 09:47:27:199 , ApplicationProcessor , checkDuplicateApplications , approved 33 app ref no 2705080106
5 , 04/05/2012 09:47:27:200 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 030512000363
5 , 04/05/2012 09:47:27:202 , ApplicationProcessor , checkDuplicateApplications , approved 34 app ref no 2205060007
5 , 04/05/2012 09:47:27:203 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 030512000363
5 , 04/05/2012 09:47:27:205 , ApplicationProcessor , checkDuplicateApplications , approved 35 app ref no 2809070108
5 , 04/05/2012 09:47:27:206 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 030512000363
5 , 04/05/2012 09:47:27:208 , ApplicationProcessor , checkDuplicateApplications , approved 36 app ref no 0802080041
5 , 04/05/2012 09:47:27:209 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 030512000363
5 , 04/05/2012 09:47:27:211 , ApplicationProcessor , checkDuplicateApplications , approved 37 app ref no 1811060004
5 , 04/05/2012 09:47:27:212 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 030512000363
5 , 04/05/2012 09:47:27:214 , ApplicationProcessor , checkDuplicateApplications , approved 38 app ref no 0106060011
5 , 04/05/2012 09:47:27:215 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 030512000363
5 , 04/05/2012 09:47:27:217 , ApplicationProcessor , checkDuplicateApplications , approved 39 app ref no 2707060079
5 , 04/05/2012 09:47:27:218 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 030512000363
5 , 04/05/2012 09:47:27:220 , ApplicationProcessor , checkDuplicateApplications , approved 40 app ref no 3003050046
5 , 04/05/2012 09:47:27:221 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 030512000363
5 , 04/05/2012 09:47:27:223 , ApplicationProcessor , checkDuplicateApplications , pending 9 checking with pending 0 app ref no 020512000236
5 , 04/05/2012 09:47:27:224 , ApplicationProcessor , checkDuplicateApplications , state and district are not same for :020512000236and 030512000363
5 , 04/05/2012 09:47:27:225 , ApplicationProcessor , checkDuplicateApplications , pending  checking with pending  app ref no not all matching020512000236
5 , 04/05/2012 09:47:27:227 , ApplicationProcessor , checkDuplicateApplications , pending 9 checking with pending 1 app ref no 020512000238
5 , 04/05/2012 09:47:27:228 , ApplicationProcessor , checkDuplicateApplications , state and district are not same for :020512000238and 030512000363
5 , 04/05/2012 09:47:27:230 , ApplicationProcessor , checkDuplicateApplications , pending  checking with pending  app ref no not all matching020512000238
5 , 04/05/2012 09:47:27:232 , ApplicationProcessor , checkDuplicateApplications , pending 9 checking with pending 2 app ref no 020512000240
5 , 04/05/2012 09:47:27:233 , ApplicationProcessor , checkDuplicateApplications , state and district are not same for :020512000240and 030512000363
5 , 04/05/2012 09:47:27:234 , ApplicationProcessor , checkDuplicateApplications , pending  checking with pending  app ref no not all matching020512000240
5 , 04/05/2012 09:47:27:236 , ApplicationProcessor , checkDuplicateApplications , pending 9 checking with pending 3 app ref no 020512000242
5 , 04/05/2012 09:47:27:238 , ApplicationProcessor , checkDuplicateApplications , state and district are not same for :020512000242and 030512000363
5 , 04/05/2012 09:47:27:239 , ApplicationProcessor , checkDuplicateApplications , pending  checking with pending  app ref no not all matching020512000242
5 , 04/05/2012 09:47:27:241 , ApplicationProcessor , checkDuplicateApplications , pending 9 checking with pending 4 app ref no 020512000246
5 , 04/05/2012 09:47:27:242 , ApplicationProcessor , checkDuplicateApplications , state and district are not same for :020512000246and 030512000363
5 , 04/05/2012 09:47:27:244 , ApplicationProcessor , checkDuplicateApplications , pending  checking with pending  app ref no not all matching020512000246
5 , 04/05/2012 09:47:27:245 , ApplicationProcessor , checkDuplicateApplications , pending 9 checking with pending 5 app ref no 020512000250
5 , 04/05/2012 09:47:27:249 , ApplicationProcessor , checkDuplicateApplications , state and district are not same for :020512000250and 030512000363
5 , 04/05/2012 09:47:27:251 , ApplicationProcessor , checkDuplicateApplications , pending  checking with pending  app ref no not all matching020512000250
5 , 04/05/2012 09:47:27:252 , ApplicationProcessor , checkDuplicateApplications , pending 9 checking with pending 6 app ref no 020512000451
5 , 04/05/2012 09:47:27:254 , ApplicationProcessor , checkDuplicateApplications , state and district are not same for :020512000451and 030512000363
5 , 04/05/2012 09:47:27:255 , ApplicationProcessor , checkDuplicateApplications , pending  checking with pending  app ref no not all matching020512000451
5 , 04/05/2012 09:47:27:257 , ApplicationProcessor , checkDuplicateApplications , pending 9 checking with pending 7 app ref no 030512000325
5 , 04/05/2012 09:47:27:258 , ApplicationProcessor , checkDuplicateApplications , state and district are same for :030512000325and 030512000363
5 , 04/05/2012 09:47:27:260 , ApplicationProcessor , checkDuplicateApplications , Rem Pending First Name :ABHIJEET
5 , 04/05/2012 09:47:27:262 , ApplicationProcessor , checkDuplicateApplications , PEnding First Name :MOHD
5 , 04/05/2012 09:47:27:263 , ApplicationProcessor , checkDuplicateApplications , Rem Pending Middle Name :null
5 , 04/05/2012 09:47:27:265 , ApplicationProcessor , checkDuplicateApplications , Rem Pending  Address :OPP. RASHMI GOYAL HOSPITAL, 37 H, 1ST FLOOR, RAMPUR GARDEN, BAREILLY
5 , 04/05/2012 09:47:27:266 , ApplicationProcessor , checkDuplicateApplications , Pending Address :434/536, 
MOH - ROHLE TOLA,
PURANA SHAHAR,
BAREILLY

5 , 04/05/2012 09:47:27:268 , ApplicationProcessor , checkDuplicateApplications , Approved itpan :AJHPC2067P
5 , 04/05/2012 09:47:27:270 , ApplicationProcessor , checkDuplicateApplications , remaining Pending itpan :AEGPH2457E
5 , 04/05/2012 09:47:27:271 , ApplicationProcessor , checkDuplicateApplications , valid format are same for :030512000325and 030512000363
5 , 04/05/2012 09:47:27:273 , ApplicationProcessor , checkDuplicateApplications , state and district are not same for :030512000325and 030512000363
5 , 04/05/2012 09:47:27:274 , ApplicationProcessor , checkDuplicateApplications , pending  checking with pending  app ref no not all matching030512000325
5 , 04/05/2012 09:47:27:276 , ApplicationProcessor , checkDuplicateApplications , pending 9 checking with pending 8 app ref no 030512000345
5 , 04/05/2012 09:47:27:277 , ApplicationProcessor , checkDuplicateApplications , state and district are same for :030512000345and 030512000363
5 , 04/05/2012 09:47:27:279 , ApplicationProcessor , checkDuplicateApplications , Rem Pending First Name :CHAUDHRY
5 , 04/05/2012 09:47:27:280 , ApplicationProcessor , checkDuplicateApplications , PEnding First Name :MOHD
5 , 04/05/2012 09:47:27:282 , ApplicationProcessor , checkDuplicateApplications , Rem Pending Middle Name :AHMED
5 , 04/05/2012 09:47:27:283 , ApplicationProcessor , checkDuplicateApplications , Rem Pending  Address :NAINITAL ROAD, KOHARAPEER, BAREILLY
5 , 04/05/2012 09:47:27:285 , ApplicationProcessor , checkDuplicateApplications , Pending Address :434/536, 
MOH - ROHLE TOLA,
PURANA SHAHAR,
BAREILLY

5 , 04/05/2012 09:47:27:287 , ApplicationProcessor , checkDuplicateApplications , Approved itpan :AKNPM7285N
5 , 04/05/2012 09:47:27:288 , ApplicationProcessor , checkDuplicateApplications , remaining Pending itpan :AEGPH2457E
5 , 04/05/2012 09:47:27:290 , ApplicationProcessor , checkDuplicateApplications , valid format are same for :030512000345and 030512000363
5 , 04/05/2012 09:47:27:291 , ApplicationProcessor , checkDuplicateApplications , state and district are not same for :030512000345and 030512000363
5 , 04/05/2012 09:47:27:293 , ApplicationProcessor , checkDuplicateApplications , pending  checking with pending  app ref no not all matching030512000345
5 , 04/05/2012 09:47:27:294 , ApplicationProcessor , checkDuplicateApplications , pending 9 checking with pending 10 app ref no 040512000002
5 , 04/05/2012 09:47:27:296 , ApplicationProcessor , checkDuplicateApplications , state and district are not same for :040512000002and 030512000363
5 , 04/05/2012 09:47:27:297 , ApplicationProcessor , checkDuplicateApplications , pending  checking with pending  app ref no not all matching040512000002
5 , 04/05/2012 09:47:27:299 , ApplicationProcessor , checkDuplicateApplications , pending 9 checking with pending 11 app ref no 040512000007
5 , 04/05/2012 09:47:27:300 , ApplicationProcessor , checkDuplicateApplications , state and district are not same for :040512000007and 030512000363
5 , 04/05/2012 09:47:27:302 , ApplicationProcessor , checkDuplicateApplications , pending  checking with pending  app ref no not all matching040512000007
5 , 04/05/2012 09:47:27:303 , ApplicationProcessor , checkDuplicateApplications , pending 9 checking with pending 12 app ref no 040512000112
5 , 04/05/2012 09:47:27:305 , ApplicationProcessor , checkDuplicateApplications , state and district are not same for :040512000112and 030512000363
5 , 04/05/2012 09:47:27:306 , ApplicationProcessor , checkDuplicateApplications , pending  checking with pending  app ref no not all matching040512000112
5 , 04/05/2012 09:47:27:308 , ApplicationProcessor , checkDuplicateApplications , pending 9 checking with pending 13 app ref no 040512000377
5 , 04/05/2012 09:47:27:309 , ApplicationProcessor , checkDuplicateApplications , state and district are not same for :040512000377and 030512000363
5 , 04/05/2012 09:47:27:311 , ApplicationProcessor , checkDuplicateApplications , pending  checking with pending  app ref no not all matching040512000377
5 , 04/05/2012 09:47:27:312 , ApplicationProcessor , checkDuplicateApplications , pending 9 checking with pending 14 app ref no 040512000382
5 , 04/05/2012 09:47:27:314 , ApplicationProcessor , checkDuplicateApplications , state and district are not same for :040512000382and 030512000363
5 , 04/05/2012 09:47:27:315 , ApplicationProcessor , checkDuplicateApplications , pending  checking with pending  app ref no not all matching040512000382
5 , 04/05/2012 09:47:27:317 , ApplicationProcessor , checkDuplicateApplications , pending 9 checking with pending 15 app ref no 040512000387
5 , 04/05/2012 09:47:27:318 , ApplicationProcessor , checkDuplicateApplications , state and district are not same for :040512000387and 030512000363
