5 , 04/05/2012 10:03:57:819 , ApplicationProcessor , checkDuplicateApplications , state and district are not same for :020512000236and 020512000250
5 , 04/05/2012 10:03:57:823 , ApplicationProcessor , checkDuplicateApplications , pending  checking with pending  app ref no 020512000236
5 , 04/05/2012 10:03:57:827 , ApplicationProcessor , checkDuplicateApplications , pending 5 duplicate with pending 0 appref no 020512000236
5 , 04/05/2012 10:03:57:831 , ApplicationProcessor , checkDuplicateApplications , before checking with Approved Applications
5 , 04/05/2012 10:03:57:835 , ApplicationProcessor , checkDuplicateApplications , pending 6 app ref no 020512000451
5 , 04/05/2012 10:03:57:838 , ApplicationProcessor , checkDuplicateApplications , approved 0 app ref no 3007070007
5 , 04/05/2012 10:03:57:842 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 020512000451
5 , 04/05/2012 10:03:57:846 , ApplicationProcessor , checkDuplicateApplications , approved 1 app ref no 3005070070
5 , 04/05/2012 10:03:57:849 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 020512000451
5 , 04/05/2012 10:03:57:851 , ApplicationProcessor , checkDuplicateApplications , approved 2 app ref no 2610040011
5 , 04/05/2012 10:03:57:852 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 020512000451
5 , 04/05/2012 10:03:57:853 , ApplicationProcessor , checkDuplicateApplications , approved 3 app ref no 2706060242
5 , 04/05/2012 10:03:57:855 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 020512000451
5 , 04/05/2012 10:03:57:856 , ApplicationProcessor , checkDuplicateApplications , approved 4 app ref no 2901070028
5 , 04/05/2012 10:03:57:858 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 020512000451
5 , 04/05/2012 10:03:57:859 , ApplicationProcessor , checkDuplicateApplications , approved 5 app ref no 2610070046
5 , 04/05/2012 10:03:57:860 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 020512000451
5 , 04/05/2012 10:03:57:862 , ApplicationProcessor , checkDuplicateApplications , approved 6 app ref no 3103050210
5 , 04/05/2012 10:03:57:863 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 020512000451
5 , 04/05/2012 10:03:57:864 , ApplicationProcessor , checkDuplicateApplications , approved 7 app ref no 0307060013
5 , 04/05/2012 10:03:57:865 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 020512000451
5 , 04/05/2012 10:03:57:867 , ApplicationProcessor , checkDuplicateApplications , approved 8 app ref no 1609050030
5 , 04/05/2012 10:03:57:868 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 020512000451
5 , 04/05/2012 10:03:57:869 , ApplicationProcessor , checkDuplicateApplications , approved 9 app ref no 1009030012
5 , 04/05/2012 10:03:57:871 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 020512000451
5 , 04/05/2012 10:03:57:872 , ApplicationProcessor , checkDuplicateApplications , approved 10 app ref no 2407060021
5 , 04/05/2012 10:03:57:873 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 020512000451
5 , 04/05/2012 10:03:57:896 , ApplicationProcessor , checkDuplicateApplications , approved 11 app ref no 2806070087
5 , 04/05/2012 10:03:57:898 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 020512000451
5 , 04/05/2012 10:03:57:899 , ApplicationProcessor , checkDuplicateApplications , approved 12 app ref no 2709060098
5 , 04/05/2012 10:03:57:901 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 020512000451
5 , 04/05/2012 10:03:57:902 , ApplicationProcessor , checkDuplicateApplications , approved 13 app ref no 1009030002
5 , 04/05/2012 10:03:57:903 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 020512000451
5 , 04/05/2012 10:03:57:907 , ApplicationProcessor , checkDuplicateApplications , approved 14 app ref no 1503050026
5 , 04/05/2012 10:03:57:909 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 020512000451
5 , 04/05/2012 10:03:57:910 , ApplicationProcessor , checkDuplicateApplications , approved 15 app ref no 3009050062
5 , 04/05/2012 10:03:57:912 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 020512000451
5 , 04/05/2012 10:03:57:913 , ApplicationProcessor , checkDuplicateApplications , approved 16 app ref no 0209060026
5 , 04/05/2012 10:03:57:915 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 020512000451
5 , 04/05/2012 10:03:57:916 , ApplicationProcessor , checkDuplicateApplications , approved 17 app ref no 2812060448
5 , 04/05/2012 10:03:57:918 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 020512000451
5 , 04/05/2012 10:03:57:921 , ApplicationProcessor , checkDuplicateApplications , approved 18 app ref no 3108040011
5 , 04/05/2012 10:03:57:923 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 020512000451
5 , 04/05/2012 10:03:57:925 , ApplicationProcessor , checkDuplicateApplications , approved 19 app ref no 1805070007
5 , 04/05/2012 10:03:57:926 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 020512000451
5 , 04/05/2012 10:03:57:928 , ApplicationProcessor , checkDuplicateApplications , approved 20 app ref no 2701070012
5 , 04/05/2012 10:03:57:929 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 020512000451
5 , 04/05/2012 10:03:57:931 , ApplicationProcessor , checkDuplicateApplications , approved 21 app ref no 1610070013
5 , 04/05/2012 10:03:57:932 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 020512000451
5 , 04/05/2012 10:03:57:934 , ApplicationProcessor , checkDuplicateApplications , approved 22 app ref no 0806060023
5 , 04/05/2012 10:03:57:935 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 020512000451
5 , 04/05/2012 10:03:57:937 , ApplicationProcessor , checkDuplicateApplications , approved 23 app ref no 1503060053
5 , 04/05/2012 10:03:57:939 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 020512000451
5 , 04/05/2012 10:03:57:940 , ApplicationProcessor , checkDuplicateApplications , approved 24 app ref no 2906070111
5 , 04/05/2012 10:03:57:942 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 020512000451
5 , 04/05/2012 10:03:57:944 , ApplicationProcessor , checkDuplicateApplications , approved 25 app ref no 2803060225
5 , 04/05/2012 10:03:57:945 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 020512000451
5 , 04/05/2012 10:03:57:947 , ApplicationProcessor , checkDuplicateApplications , approved 26 app ref no 1712070027
5 , 04/05/2012 10:03:57:948 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 020512000451
5 , 04/05/2012 10:03:57:951 , ApplicationProcessor , checkDuplicateApplications , approved 27 app ref no 1312050088
5 , 04/05/2012 10:03:57:953 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 020512000451
5 , 04/05/2012 10:03:57:954 , ApplicationProcessor , checkDuplicateApplications , approved 28 app ref no 1001060009
5 , 04/05/2012 10:03:57:955 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 020512000451
5 , 04/05/2012 10:03:57:957 , ApplicationProcessor , checkDuplicateApplications , approved 29 app ref no 1001060011
5 , 04/05/2012 10:03:57:958 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 020512000451
5 , 04/05/2012 10:03:57:959 , ApplicationProcessor , checkDuplicateApplications , approved 30 app ref no 1004070023
5 , 04/05/2012 10:03:57:962 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 020512000451
5 , 04/05/2012 10:03:57:963 , ApplicationProcessor , checkDuplicateApplications , approved 31 app ref no 0106070022
5 , 04/05/2012 10:03:57:964 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 020512000451
5 , 04/05/2012 10:03:57:966 , ApplicationProcessor , checkDuplicateApplications , approved 32 app ref no 0106070019
5 , 04/05/2012 10:03:57:968 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 020512000451
5 , 04/05/2012 10:03:57:969 , ApplicationProcessor , checkDuplicateApplications , approved 33 app ref no 2705080106
5 , 04/05/2012 10:03:57:971 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 020512000451
5 , 04/05/2012 10:03:57:972 , ApplicationProcessor , checkDuplicateApplications , approved 34 app ref no 2205060007
5 , 04/05/2012 10:03:57:973 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 020512000451
5 , 04/05/2012 10:03:57:975 , ApplicationProcessor , checkDuplicateApplications , approved 35 app ref no 2809070108
5 , 04/05/2012 10:03:57:977 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 020512000451
5 , 04/05/2012 10:03:57:978 , ApplicationProcessor , checkDuplicateApplications , approved 36 app ref no 0802080041
5 , 04/05/2012 10:03:57:980 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 020512000451
5 , 04/05/2012 10:03:57:981 , ApplicationProcessor , checkDuplicateApplications , approved 37 app ref no 1811060004
5 , 04/05/2012 10:03:57:983 , ApplicationProcessor , checkDuplicateApplications , Approved First Name :DILIP
5 , 04/05/2012 10:03:57:984 , ApplicationProcessor , checkDuplicateApplications , PEnding First Name :SURESH
5 , 04/05/2012 10:03:57:986 , ApplicationProcessor , checkDuplicateApplications , Approved Middle Name :-
5 , 04/05/2012 10:03:57:987 , ApplicationProcessor , checkDuplicateApplications , Approved Middle name :- for app ref noCG200617403WC
5 , 04/05/2012 10:03:57:989 , ApplicationProcessor , checkDuplicateApplications , Pending Middle name:null for cgpan020512000451
5 , 04/05/2012 10:03:57:990 , ApplicationProcessor , checkDuplicateApplications , Approved Address :123/410 GADARIANPURWA KANPUR
5 , 04/05/2012 10:03:57:992 , ApplicationProcessor , checkDuplicateApplications , Approved Address :I-521 BARRA VISHWA BANK COLONY KANPUR
5 , 04/05/2012 10:03:57:994 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 020512000451
5 , 04/05/2012 10:03:57:995 , ApplicationProcessor , checkDuplicateApplications , approved 38 app ref no 0106060011
5 , 04/05/2012 10:03:57:997 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 020512000451
5 , 04/05/2012 10:03:57:998 , ApplicationProcessor , checkDuplicateApplications , approved 39 app ref no 2707060079
5 , 04/05/2012 10:03:58:000 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 020512000451
5 , 04/05/2012 10:03:58:001 , ApplicationProcessor , checkDuplicateApplications , approved 40 app ref no 3003050046
5 , 04/05/2012 10:03:58:003 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 020512000451
5 , 04/05/2012 10:03:58:005 , ApplicationProcessor , checkDuplicateApplications , pending 6 checking with pending 0 app ref no 020512000236
5 , 04/05/2012 10:03:58:006 , ApplicationProcessor , checkDuplicateApplications , state and district are not same for :020512000236and 020512000451
5 , 04/05/2012 10:03:58:008 , ApplicationProcessor , checkDuplicateApplications , pending  checking with pending  app ref no not all matching020512000236
5 , 04/05/2012 10:03:58:009 , ApplicationProcessor , checkDuplicateApplications , pending 6 checking with pending 1 app ref no 020512000238
5 , 04/05/2012 10:03:58:011 , ApplicationProcessor , checkDuplicateApplications , state and district are not same for :020512000238and 020512000451
5 , 04/05/2012 10:03:58:012 , ApplicationProcessor , checkDuplicateApplications , pending  checking with pending  app ref no not all matching020512000238
5 , 04/05/2012 10:03:58:014 , ApplicationProcessor , checkDuplicateApplications , pending 6 checking with pending 2 app ref no 020512000240
5 , 04/05/2012 10:03:58:015 , ApplicationProcessor , checkDuplicateApplications , state and district are not same for :020512000240and 020512000451
5 , 04/05/2012 10:03:58:017 , ApplicationProcessor , checkDuplicateApplications , pending  checking with pending  app ref no not all matching020512000240
5 , 04/05/2012 10:03:58:018 , ApplicationProcessor , checkDuplicateApplications , pending 6 checking with pending 3 app ref no 020512000242
5 , 04/05/2012 10:03:58:020 , ApplicationProcessor , checkDuplicateApplications , state and district are not same for :020512000242and 020512000451
5 , 04/05/2012 10:03:58:022 , ApplicationProcessor , checkDuplicateApplications , pending  checking with pending  app ref no not all matching020512000242
5 , 04/05/2012 10:03:58:024 , ApplicationProcessor , checkDuplicateApplications , pending 6 checking with pending 4 app ref no 020512000246
5 , 04/05/2012 10:03:58:025 , ApplicationProcessor , checkDuplicateApplications , state and district are not same for :020512000246and 020512000451
5 , 04/05/2012 10:03:58:027 , ApplicationProcessor , checkDuplicateApplications , pending  checking with pending  app ref no not all matching020512000246
5 , 04/05/2012 10:03:58:028 , ApplicationProcessor , checkDuplicateApplications , pending 6 checking with pending 5 app ref no 020512000250
5 , 04/05/2012 10:03:58:030 , ApplicationProcessor , checkDuplicateApplications , state and district are not same for :020512000250and 020512000451
5 , 04/05/2012 10:03:58:032 , ApplicationProcessor , checkDuplicateApplications , pending  checking with pending  app ref no not all matching020512000250
5 , 04/05/2012 10:03:58:033 , ApplicationProcessor , checkDuplicateApplications , pending 6 checking with pending 7 app ref no 030512000325
5 , 04/05/2012 10:03:58:035 , ApplicationProcessor , checkDuplicateApplications , state and district are not same for :030512000325and 020512000451
5 , 04/05/2012 10:03:58:336 , ApplicationProcessor , checkDuplicateApplications , pending  checking with pending  app ref no not all matching030512000325
5 , 04/05/2012 10:03:58:338 , ApplicationProcessor , checkDuplicateApplications , pending 6 checking with pending 8 app ref no 030512000345
5 , 04/05/2012 10:03:58:339 , ApplicationProcessor , checkDuplicateApplications , state and district are not same for :030512000345and 020512000451
5 , 04/05/2012 10:03:58:341 , ApplicationProcessor , checkDuplicateApplications , pending  checking with pending  app ref no not all matching030512000345
5 , 04/05/2012 10:03:58:343 , ApplicationProcessor , checkDuplicateApplications , pending 6 checking with pending 9 app ref no 030512000363
5 , 04/05/2012 10:03:58:344 , ApplicationProcessor , checkDuplicateApplications , state and district are not same for :030512000363and 020512000451
5 , 04/05/2012 10:03:58:346 , ApplicationProcessor , checkDuplicateApplications , pending  checking with pending  app ref no not all matching030512000363
5 , 04/05/2012 10:03:58:348 , ApplicationProcessor , checkDuplicateApplications , pending 6 checking with pending 10 app ref no 040512000002
5 , 04/05/2012 10:03:58:349 , ApplicationProcessor , checkDuplicateApplications , state and district are not same for :040512000002and 020512000451
5 , 04/05/2012 10:03:58:352 , ApplicationProcessor , checkDuplicateApplications , pending  checking with pending  app ref no not all matching040512000002
5 , 04/05/2012 10:03:58:354 , ApplicationProcessor , checkDuplicateApplications , pending 6 checking with pending 11 app ref no 040512000007
5 , 04/05/2012 10:03:58:356 , ApplicationProcessor , checkDuplicateApplications , state and district are not same for :040512000007and 020512000451
5 , 04/05/2012 10:03:58:357 , ApplicationProcessor , checkDuplicateApplications , pending  checking with pending  app ref no not all matching040512000007
5 , 04/05/2012 10:03:58:359 , ApplicationProcessor , checkDuplicateApplications , pending 6 checking with pending 12 app ref no 040512000112
5 , 04/05/2012 10:03:58:361 , ApplicationProcessor , checkDuplicateApplications , state and district are same for :040512000112and 020512000451
